"","unique.cellid","MODEL","TYPE","REPLICATE"
"AB521-T","AB521-T","AB521","TUMOR","NO"
"AB521M-T","AB521M-T","AB521M","TUMOR","NO"
"AB521M-TR","AB521M-TR","AB521M","TUMOR","YES"
"AB521M-X1","AB521M-X1","AB521M","PDX","NO"
"AB521M-X1R1","AB521M-X1R1","AB521M","PDX","YES"
"AB521M-XC7","AB521M-XC7","AB521M","PDC","NO"
"AB551-T","AB551-T","AB551","TUMOR","NO"
"AB551-TR","AB551-TR","AB551","TUMOR","YES"
"AB551-X0R","AB551-X0R","AB551","PDX","YES"
"AB551-X1","AB551-X1","AB551","PDX","NO"
"AB551-X1C7","AB551-X1C7","AB551","PDC","NO"
"AB555-X0","AB555-X0","AB555","PDX","NO"
"AB559-T","AB559-T","AB559","TUMOR","NO"
"AB559-X1","AB559-X1","AB559","PDX","NO"
"AB580-T","AB580-T","AB580","TUMOR","NO"
"AB580-X0","AB580-X0","AB580","PDX","NO"
"AB630-T","AB630-T","AB630","TUMOR","NO"
"AB630-X0","AB630-X0","AB630","PDX","NO"
"HCI001-X0","HCI001-X0","HCI001","PDX","NO"
"HCI001-X0R","HCI001-X0R","HCI001","PDX","YES"
"HCI001-X3","HCI001-X3","HCI001","PDX","NO"
"HCI001-X3C7","HCI001-X3C7","HCI001","PDC","NO"
"HCI001-X4","HCI001-X4","HCI001","PDX","NO"
"HCI001-X5","HCI001-X5","HCI001","PDX","NO"
"HCI001-X5R","HCI001-X5R","HCI001","PDX","YES"
"HCI002-X0","HCI002-X0","HCI002","PDX","NO"
"HCI002-X0R","HCI002-X0R","HCI002","PDX","YES"
"HCI002-X2","HCI002-X2","HCI002","PDX","NO"
"HCI002-X3R","HCI002-X3R","HCI002","PDX","YES"
"HCI002-X4C7","HCI002-X4C7","HCI002","PDC","NO"
"HCI002-X6","HCI002-X6","HCI002","PDX","NO"
"HCI002-X6R","HCI002-X6R","HCI002","PDX","YES"
"HCI004-X1","HCI004-X1","HCI004","PDX","NO"
"HCI004-X1R","HCI004-X1R","HCI004","PDX","YES"
"HCI004-X2","HCI004-X2","HCI004","PDX","NO"
"HCI004-X2R","HCI004-X2R","HCI004","PDX","YES"
"HCI004-X3","HCI004-X3","HCI004","PDX","NO"
"HCI004-X4","HCI004-X4","HCI004","PDX","NO"
"HCI005-X2R","HCI005-X2R","HCI005","PDX","YES"
"HCI006-X1","HCI006-X1","HCI006","PDX","NO"
"HCI008-X1","HCI008-X1","HCI008","PDX","NO"
"HCI008-X1R","HCI008-X1R","HCI008","PDX","YES"
"HCI008-X1R1","HCI008-X1R1","HCI008","PDX","YES"
"HCI009-X1R","HCI009-X1R","HCI009","PDX","YES"
"HCI009-X1R1","HCI009-X1R1","HCI009","PDX","YES"
"HCI009-X4","HCI009-X4","HCI009","PDX","NO"
"HCI009-X4C","HCI009-X4C","HCI009","PDC","NO"
"HCI009-X4CR","HCI009-X4CR","HCI009","PDC","YES"
"HCI009-X4R","HCI009-X4R","HCI009","PDX","YES"
"HCI009-X6","HCI009-X6","HCI009","PDX","NO"
"HCI009-X8","HCI009-X8","HCI009","PDX","NO"
"HCI010-X0","HCI010-X0","HCI010","PDX","NO"
"HCI010-X1","HCI010-X1","HCI010","PDX","NO"
"HCI010-X1R","HCI010-X1R","HCI010","PDX","YES"
"HCI010-X2","HCI010-X2","HCI010","PDX","NO"
"HCI010-X2R","HCI010-X2R","HCI010","PDX","YES"
"HCI010-X3","HCI010-X3","HCI010","PDX","NO"
"HCI010-X3C7","HCI010-X3C7","HCI010","PDC","NO"
"HCI011-X1","HCI011-X1","HCI011","PDX","NO"
"HCI014-X0","HCI014-X0","HCI014","PDX","NO"
"IC006-X0","IC006-X0","IC006","PDX","NO"
"IC007-X0","IC007-X0","IC007","PDX","NO"
"IC007-X1","IC007-X1","IC007","PDX","NO"
"IC007-X3","IC007-X3","IC007","PDX","NO"
"STG139-T","STG139-T","STG139","TUMOR","NO"
"STG139-TR","STG139-TR","STG139","TUMOR","YES"
"STG139-TR1","STG139-TR1","STG139","TUMOR","YES"
"STG139-X0","STG139-X0","STG139","PDX","NO"
"STG139-X12","STG139-X12","STG139","PDX","NO"
"STG139-X13","STG139-X13","STG139","PDX","NO"
"STG139-X13R","STG139-X13R","STG139","PDX","YES"
"STG139-X14","STG139-X14","STG139","PDX","NO"
"STG139-X2","STG139-X2","STG139","PDX","NO"
"STG139-X2R","STG139-X2R","STG139","PDX","YES"
"STG139-X3","STG139-X3","STG139","PDX","NO"
"STG139-X5","STG139-X5","STG139","PDX","NO"
"STG139-X5R","STG139-X5R","STG139","PDX","YES"
"STG139-X5R2","STG139-X5R2","STG139","PDX","YES"
"STG139M-X0","STG139M-X0","STG139M","PDX","NO"
"STG139M-X2","STG139M-X2","STG139M","PDX","NO"
"STG139M-X2R","STG139M-X2R","STG139M","PDX","YES"
"STG139M-X5","STG139M-X5","STG139M","PDX","NO"
"STG139M-X5R","STG139M-X5R","STG139M","PDX","YES"
"STG139M-X5R1","STG139M-X5R1","STG139M","PDX","YES"
"STG143-T","STG143-T","STG143","TUMOR","NO"
"STG143-X0","STG143-X0","STG143","PDX","NO"
"STG143-X0R","STG143-X0R","STG143","PDX","YES"
"STG143-X2","STG143-X2","STG143","PDX","NO"
"STG143-X2R","STG143-X2R","STG143","PDX","YES"
"STG195-X0","STG195-X0","STG195","PDX","NO"
"STG195-X1","STG195-X1","STG195","PDX","NO"
"STG195-X1R","STG195-X1R","STG195","PDX","YES"
"STG195-X2","STG195-X2","STG195","PDX","NO"
"STG195-X3","STG195-X3","STG195","PDX","NO"
"STG195-X3C7","STG195-X3C7","STG195","PDC","NO"
"STG201-T","STG201-T","STG201","TUMOR","NO"
"STG201-TR","STG201-TR","STG201","TUMOR","YES"
"STG201-X0","STG201-X0","STG201","PDX","NO"
"STG201-X2","STG201-X2","STG201","PDX","NO"
